job_id,title,company_name,location,remote_type,salary_min,salary_max,salary_type,experience_level,job_category,skills_tags,date_posted,date_scraped,source,source_url,description_snippet,import_date,import_week
abc123def456,Senior Prompt Engineer,Anthropic,"San Francisco, CA",hybrid,180000,250000,annual,senior,Prompt Engineer,"Claude,Python,RAG,Fine-tuning,Evaluation",2025-12-28,2026-01-02,company,https://anthropic.com/careers,Join our team to develop and refine prompts for Claude. You'll work on cutting-edge AI systems and help shape how millions of people interact with AI...,2026-01-12,2026-W02
def456ghi789,AI Agent Developer,OpenAI,"San Francisco, CA",remote,200000,300000,annual,senior,AI Agent Developer,"LangChain,GPT-4,Python,RAG,Tool Use",2025-12-30,2026-01-02,company,https://openai.com/careers,"Build autonomous AI agents that can reason, plan, and execute complex tasks. Experience with LangChain, tool use, and multi-agent systems required...",2026-01-12,2026-W02
ghi789jkl012,LLM Engineer,Cohere,"Toronto, Canada",hybrid,150000,200000,annual,mid,LLM Application Developer,"Python,PyTorch,Transformers,Hugging Face,RAG",2025-12-27,2026-01-02,company,https://cohere.com/careers,"Work on large language model applications including RAG systems, fine-tuning, and production deployments. Strong Python and ML fundamentals required...",2026-01-12,2026-W02
jkl012mno345,ML Ops Engineer,Databricks,"Seattle, WA",onsite,160000,220000,annual,mid,ML Ops Engineer,"Kubernetes,Docker,AWS,Python,MLflow",2025-12-26,2026-01-02,indeed,https://databricks.com/careers,"Design and maintain ML infrastructure for production AI systems. Experience with Kubernetes, CI/CD, and model serving frameworks required...",2026-01-12,2026-W02
mno345pqr678,AI Product Manager,Notion,"New York, NY",remote,170000,230000,annual,senior,AI Product Manager,"Product Strategy,LLMs,User Research,Roadmapping",2025-12-29,2026-01-02,ai-jobs,https://notion.so/careers,Lead AI product strategy and roadmap. Work closely with engineering to ship AI-powered features. Experience with LLMs and understanding of prompt engineering required...,2026-01-12,2026-W02
pqr678stu901,Prompt Engineer,Jasper,"Austin, TX",remote,120000,160000,annual,mid,Prompt Engineer,"GPT-4,Claude,Content Generation,A/B Testing",2025-12-31,2026-01-02,indeed,https://jasper.ai/careers,"Craft and optimize prompts for our AI content generation platform. You'll experiment with different approaches, run A/B tests, and continuously improve output quality...",2026-01-12,2026-W02
stu901vwx234,AI Research Engineer,Google DeepMind,"London, UK",hybrid,180000,280000,annual,senior,Research Engineer,"PyTorch,JAX,Transformers,Research,Python",2025-12-25,2026-01-02,company,https://deepmind.google/careers,"Join our research team working on cutting-edge AI systems. Strong background in machine learning, publications preferred but not required...",2026-01-12,2026-W02
vwx234yza567,Staff ML Engineer,Stripe,"San Francisco, CA",hybrid,220000,320000,annual,senior,AI/ML Engineer,"Python,TensorFlow,Fraud Detection,Real-time ML",2025-12-28,2026-01-02,company,https://stripe.com/jobs,Build ML systems for fraud detection and risk assessment at scale. You'll work on models that process billions of transactions...,2026-01-12,2026-W02
yza567bcd890,AI Safety Researcher,Anthropic,"San Francisco, CA",hybrid,200000,300000,annual,senior,AI Safety/Red Team,"AI Safety,Red Teaming,Research,Python,Evaluation",2025-12-30,2026-01-02,company,https://anthropic.com/careers,Research and implement AI safety techniques. Red-team our models to identify potential risks and develop mitigations...,2026-01-12,2026-W02
bcd890efg123,Junior Prompt Engineer,Scale AI,"San Francisco, CA",remote,90000,130000,annual,entry,Prompt Engineer,"GPT-4,Claude,Data Labeling,Python",2026-01-01,2026-01-02,indeed,https://scale.com/careers,Help train and evaluate AI models through prompt engineering. Great opportunity for someone early in their AI career to learn from experts...,2026-01-12,2026-W02
efg123hij456,RAG Engineer,Pinecone,"New York, NY",remote,150000,200000,annual,mid,LLM Application Developer,"Pinecone,LangChain,RAG,Python,Vector DBs",2025-12-29,2026-01-02,ai-jobs,https://pinecone.io/careers,"Build and optimize RAG systems for enterprise customers. Deep expertise in vector search, embedding models, and retrieval architectures...",2026-01-12,2026-W02
hij456klm789,AI Solutions Architect,AWS,"Seattle, WA",hybrid,180000,260000,annual,senior,AI/ML Engineer,"AWS,Bedrock,SageMaker,Architecture,Python",2025-12-27,2026-01-02,company,https://amazon.jobs,"Help enterprise customers architect and deploy AI solutions on AWS. Deep knowledge of Bedrock, SageMaker, and ML best practices required...",2026-01-12,2026-W02
